,Graph Mod Id,Graph Score,G1 Graph Score,Sum Graph Score
0,Original Graph,751,2111,2862
236,"MBF-to-Cln3 -> 0to-1 | Mcm1,SFF-to-Cln3 -> 0to-1",575,2111,2686
237,MBF-to-Cln3 -> 0to-1 | Cln3-to-MBF -> 1to0,3607,0,3607
238,MBF-to-Cln3 -> 0to-1 | Cln3-to-MBF -> 1to-1,4155,0,4155
239,MBF-to-Cln3 -> 0to-1 | SBF-to-MBF -> 0to1,36,1605,1641
240,MBF-to-Cln3 -> 0to-1 | SBF-to-MBF -> 0to-1,3927,0,3927
241,"MBF-to-Cln3 -> 0to-1 | Cln1,2-to-MBF -> 0to1",18,1005,1023
242,"MBF-to-Cln3 -> 0to-1 | Cln1,2-to-MBF -> 0to-1",3760,0,3760
243,MBF-to-Cln3 -> 0to-1 | Cdh1-to-MBF -> 0to1,4235,0,4235
244,MBF-to-Cln3 -> 0to-1 | Cdh1-to-MBF -> 0to-1,2260,0,2260
245,MBF-to-Cln3 -> 0to-1 | Swi5-to-MBF -> 0to1,2476,0,2476
246,MBF-to-Cln3 -> 0to-1 | Swi5-to-MBF -> 0to-1,2616,0,2616
247,MBF-to-Cln3 -> 0to-1 | Cdc2014-to-MBF -> 0to1,2482,0,2482
248,MBF-to-Cln3 -> 0to-1 | Cdc2014-to-MBF -> 0to-1,1890,0,1890
249,"MBF-to-Cln3 -> 0to-1 | Clb5,6-to-MBF -> 0to1",2738,0,2738
250,"MBF-to-Cln3 -> 0to-1 | Clb5,6-to-MBF -> 0to-1",1514,0,1514
251,MBF-to-Cln3 -> 0to-1 | Sic1-to-MBF -> 0to1,2444,0,2444
252,MBF-to-Cln3 -> 0to-1 | Sic1-to-MBF -> 0to-1,2635,0,2635
253,"MBF-to-Cln3 -> 0to-1 | Clb1,2-to-MBF -> -1to0",2512,0,2512
254,"MBF-to-Cln3 -> 0to-1 | Clb1,2-to-MBF -> -1to1",5968,0,5968
255,"MBF-to-Cln3 -> 0to-1 | Mcm1,SFF-to-MBF -> 0to1",2508,0,2508
256,"MBF-to-Cln3 -> 0to-1 | Mcm1,SFF-to-MBF -> 0to-1",1670,0,1670
257,MBF-to-Cln3 -> 0to-1 | Cln3-to-SBF -> 1to0,971,0,971
258,MBF-to-Cln3 -> 0to-1 | Cln3-to-SBF -> 1to-1,1144,0,1144
259,MBF-to-Cln3 -> 0to-1 | MBF-to-SBF -> 0to1,86,2106,2192
260,MBF-to-Cln3 -> 0to-1 | MBF-to-SBF -> 0to-1,1440,0,1440
261,"MBF-to-Cln3 -> 0to-1 | Cln1,2-to-SBF -> 0to1",23420,0,23420
262,"MBF-to-Cln3 -> 0to-1 | Cln1,2-to-SBF -> 0to-1",623,2109,2732
263,MBF-to-Cln3 -> 0to-1 | Cdh1-to-SBF -> 0to1,4057,0,4057
264,MBF-to-Cln3 -> 0to-1 | Cdh1-to-SBF -> 0to-1,917,0,917
265,MBF-to-Cln3 -> 0to-1 | Swi5-to-SBF -> 0to1,4133,0,4133
266,MBF-to-Cln3 -> 0to-1 | Swi5-to-SBF -> 0to-1,832,0,832
267,MBF-to-Cln3 -> 0to-1 | Cdc2014-to-SBF -> 0to1,4236,0,4236
268,MBF-to-Cln3 -> 0to-1 | Cdc2014-to-SBF -> 0to-1,898,0,898
269,"MBF-to-Cln3 -> 0to-1 | Clb5,6-to-SBF -> 0to1",678,2109,2787
